full_text;Cat
@pln_123 INI LISTRIK KAPAN NYALANYA MINNNN😭😭;0
@pln_123 karang tengah pondok bahar mati lampu sampai kapan ya min?;0
@pln_123 ini kenapa deh jam segini daerah babelan mati lampu mana lagi gerah banget 😪;0
@pln_123 hallo PLN, listrik padam di Perumahan Villa Indah Pulo Timaha Babelan Bekasi Utara. Tolong segera diperbaiki atau di hidupkan, cuaca lagi panas, anak gak bisa tidur karena AC mati gak ada listrik. Terimakasih;0
@pln_123 bang ngape si bang? Nih lampu daerah pondok permata babelan mati jam segini, kaga ada ujan badai padahal🤌🏻;0
Tolong lah @pln_123 Bekasi, khususnya daerah Babelan. Jangan suka mati listrik tiba-tiba kek, udh malem gini orang mau tidur pake mati listrik segala, ganggu bgt sumpah 😭 Buruan nyala kek😡;0
@pln_123 ini kenapa pengaduan dibatalkan? Tolong dong jangan sampai terjadi korsleting listrik https://t.co/b7o3CYQBIg;0
Duh si goblog ga ada ujan ga ada apa mati lampu daerah babelan @pln_123;0
@pln_123 haduh kebiasaan banget mati lampu pada jam istirahat , gak ada notif sebelum nya juga . mendadak langsung off aja aliran listrik;0
Random banget ya bgst, jam segini mati listrik 🙄🙄🙄 @pln_123;0
@pln_123 min babelan mati lampu nii;0
Min @pln_123, jam segini di semarang selatan mati lampu;0
internetmu iconnet bosok @pln_123 https://t.co/OoP9v7yQf3;8
Hallo @pln_123 disini mati lampu.. mana ujan tapi gerah🥲;0
@pln_123 Min terlambat trus ki min, 9 jam lbih mati lampu rumahku baru menyala ini😭🙏;0
ngopo to wei mateni listrik terus, padahal yo ratau nunggak bayar listrik, paitan sengit po bwang @pln_123;0
@pln_123 Min, pelni depok ujug2 listrik padam tengah malam begini, ada apakah? Berapa lama ini matinya?;0
@pln_123 pln rungkut kapan pemadaman listrik di rumah saya akan  dintindaklanjuti  sudah telp 4x dan jawabannya sedang dalam penanganan. Sudah hampir 6 jam sejak pemadaman. Apa perlu waktu selama itu menyalakan kembali listrik yang d putus??;0
Dear admin @pln_123, ini di daerah kel. Beji kec. Beji kota Depok kok mati listrik dari jam 14:30 belum nyala sampai saat ini ya min. Udah buat pengaduan di aplikasi belum ada tindaklanjutnya. Mohon bantuannya. Terima kasih;0
@pln_123 Saya udah DM di Twitter sm IG tp engga direspon, tolong dong kasihan ini banyak bayi nangis kepanasan....;0
@pln_123 hallo kak ini daerah rumah saya mati lampu, matinya juga engga rata, tolong dong infonya Kasihan dari tadi bayi pada nangis karna kepanasan!!!;0
Halo @pln_123, listrik di Kemanggisan Ilir 3 Jakarta Barat kenapa, ya? Sejak pukul 21.30 padam lalu menyala dan padam lagi sampai sekarang. Tolong segera ditangani karena sangat menyusahkan kami yang ingin istirahat dan dapat memicu kerusakan pada alat-alat elektronik.;0
kemanggisan ini kenapa mati lampu mulu gajelas yh p @pln_123;0
@pln_123 malam min, ini knp ya iconnect gk ada koneksi terus semenjak pemadaman listik di sleman dari tgl 17 sampe hari ini?;8
Min ini knpa listrik semuanya redup ya? Lampu jga nyalanya remang2 tetangga sekitar jga bgtu. @pln_123 daerah koja;0
What's happening pln ???? Knp di beiji depok mati listriknya lama banget!!!!!! @pln_123 @pln_123 @pln_123;0
@pln_123 min kab sukabumi kecamatan sudajaya girang mati listrik kenapa ya?;0
@pln_123 tolong terblokir id pelanggan rumah saya;3
@pln_123 halo PLN kalo mau komplen kabel listrik jatoh menjuntai ke jalan ke mana? Daerah Limo, Depok Jabar;0
@pln_123 min laporan mati listrik daerah depok beji. Kenapa ya;0
@pln_123 admin mau tanya, saya mengajukan perubahan dari pascabayar ke prabayar melalui pln mobil, untik daya listrik saya pilih daya yang sama dan sudah bayar perubahan daya sesuai petunjuk di email, ini pergantian meteran nantinya akan di hub via email ;1
PLN minta tolong, Jalur ke tempat tinggal saya sdh 2x terkendala dgn adanya info Kabel terbakar.  1. Jum'at 17/3, listrik padam dr jm 6.30 pagi sampai 10 mlm,  2. Selasa 21/3, listrik sering drop dri jam 5 pagi ke 6 sore,dn padam total sampai skrg @pln_123 @PemKabTangerang https://t.co/fccJYQn23A;0
@pln_123 jangan halu, please.  Status pengaduan udah jadi nyala tapi nyatanya masih padam.  G5423032128420 https://t.co/pnfKTwtkTN;0
@pln_123 ini uang restitusi saya dari 3 bulan lalu (tanggal registrasi restitusi 22 Des 22) kenapa belum dibalikkan juga ya, kata adminnya disuruh tunggu terus karna dari pusat, tapi ini sudah 3 bulan lo..;4
@pln_123 halo kenapa no token saya selau gagal;4
@pln_123 min sgera di TL listrik padam minnnn tiap mlm kok padam trs. Ds jerukwangi rt 2 rw 4 kec bangsri kab jepara..;0
@pln_123 malam min, mau tanya, kemanggisan ilir 3 jakarta barat Rt 007/001 ada pemadaman listrik?berapa lama yah? ada gangguan apa dilakukan pemadaman listrik?;0
Min tlong di TL listrik padam ds jerukwangi rt 2 rw 4 kec bangsri kab jepara @pln_123;0
gila sih nih hampir 8 jam mati lampu @pln_123 bener bener ganggu banget, ngga ada pemberitahuan sama sekali;0
Hallooo pln..gimana nih di beji udh mati lampu lebih dari 12 jam...minimal ada info apa kek gitu @pln_123;0
@pln_123 apakah ada info pemadaman PLN di kecamatan Kramat Jati Jakarta Timur ? Sudah 45 menit ini lampu belum nyala;0
@pln_123 ini gimana ya ko belum ada solusi apa2, tiba2 laporan di aplikasi PLN Mobile maen diselesaikan aja ya? Udh WA ga dibales juga. Gimana sih? https://t.co/Busq4je8ek;0
@pln_123 Min tolong bales DM min, mau isin token gagal terus 😭 https://t.co/qpc84PFajn;4
Nyalain dong listrik di perumahan keroncong mas permai. Mati mulu tiap malem heran. Saya tuh punya bayi ih gimana sih! Nyalain listriknya buruan deh @pln_123;0
@pln_123 malam pak, lapor mati lampu dr jam 20,49, disekitar kantor PLN Kramat jati Jaktim thanks;0
@uphiluthfi @pln_123 Udh Piiil, terus ada yg WA ke gua, gua bales, ga dibales lagi, malah pengaduan gua statusnya udh selesai, ngeselin banget. Ga jelas;0
@Cryztalyzz @pln_123 Iya nih min, mati lampu. Ada apa ya.;0
@pln_123 min ini gimna mati lampu dari jm 2 siang smpe skrang blm kelar2x https://t.co/kNA9MeETpg;0
@pln_123 jaktim mati lampu sampai kapan min???? ada kerjaan bgt ini mah pls 😭😭😭😭😭;0
Hallo @pln_123 mohon info ini dicondet jalan M. Izi rt 015 rw 05 kelurahan Cililitan kecamatan Kramat Jati listrik padam knp ya?;0
@pln_123 tolong dibantu pemadaman listrik di wilayah kelurahan tengah dengan kode pos 13540 mohon dibantu ya min;0
@pln_123 kaaaak, ini mati lampu di jaktim sampe kapan ya? saya ada tugas deadline malem ini, laptop saya tinggal 11%, plis lah 😭😭😭;0
@pln_123 lama juga ya matinya.;0
Hallo minn. Listrik kami di jalan buni kec. Beji Kota Depok 16421 Padam dari jam 14.00 hingga saat ini 22.07. kami punya anak bayi dirumah. Tolong lah di percepat. @pln_123;0
@pln_123 listrik daerah beji kapan nyala sih?;0
Hallo @pln_123 mohon info ini dicondet jalan M. Izi rt 015 rw 05 listrik padam knp ya?;0
keterlaluan nih mati lampu sampe 7 jam - beji @pln_123;0
@pln_123 haloo. Daerah kelurahan kramat jati kenapa mati listrik semua ya? Tolong bgt fastresp. Makasiii;0
Beji depok sampai kapan ya matinya? Udh dari siang sampe skrg blm nyala juga..pls infonya dong @pln_123;0
@pln_123 ANJER WOIIIIIIII GERAH ANJER 😭;0
@pln_123 Halo, Selamat malam  Saya mau tanyaa apa di Surabaya Timur memang sedang ada pemadaman Listrik yaa saat ini?  Kira2 akan menyala di pukul brp?;0
@PLN_ULPPangkep  Mau sampai kapan ini listrik pangkep mati2 terus?  @pln_123  @erickthohir;0
Hallo @pln_123 inii kembang bejii kenapa ga nyala² yaaa. Ayolahhh banyak yang mau kerja jadi terkendala. Pemeliharaaan si pemeliharaan tapi ga gini jugalaa;0
@pln_123 PLIS BANGET AKU GERAH LAGI KULIAH LISTRIK MATI 😭😭😭😭😭😭😭😭😭😭😭;0
@nurmaulF @pln_123 Coba bikin laporan pake aplikasi ma, biasanya pake aplikasi lbh cpt responnya;0
Kwh meter tiba2 muncul tulisan 'periksa', bikin pengaduan di pln mobile aplikasinya ndeso. Jadi harus gimana @pln_123??;3
Halo @pln_123 @infoPLN Depok Kembang Beji, mati lampu sudah 8 jam. Ada apa ya? Apa malam ini bisa hidup kembali listriknya?;0
daerah depok beji @pln_123 kapan nyala lgi listrik nya !???;0
Halo @pln_123 @infoPLN ini di kota Pangkal Pinang, Bangka, udah 3 hari listrik padam terus, siang malam padam, nyala cuma sebentar, Gini amat layanan perusahaan negara. @KemenBUMN @erickthohir @mohmahfudmd @jokowi;0
@pln_123 halo PLN, untuk ubah nama rekening listrik apakah bisa secara online? Terima kasih;4
@pln_123  Min...,lampu di Tempat Kami Dusun 2,Desa Penarik,Kec.Penarik,Kab. Mukomuko,Prov.Bengkulu.sampai saat ini masih Mati dan kejadian ini terus berulang Hidup-Mati... sebentar lagi Puasa Mohon solusinya Min... Terima kasih.;0
@pln_123 Min...,lampu di Tempat Kami Dusun 2,Desa Penarik,Kec.Penarik,Kab. Mukomuko,Prov.Bengkulu.sampai saat ini masih Mati dan kejadian ini terus berulang Hidup-Mati... dan sebentar lagi Puasa....Mohon solusinya Min... Terima kasih.;0
@agakarebaa Knp mati lampu terus di @pln_123;0
@pln_123 halo pak / ibu admin, ini listrik masih padam di jl. Rawamaya elok RT.09 RW.014 Beji - kota depok mau menunggu berapa lama lagi?;0
Janjinya mau nambah tiang, tp smpe skrg gk terealisasi. Smpe gk ngerti mesti gmn lagi. @pln_123;1
@pln_123 min wilayah beji, depok, listrik padam dari jam 2 siang. Sampai saat ini belum juga nyala. Ada apa ya? Lalu estimasi listrik padam sampai kapan?;0
Halo @pln_123 , listrik komplek saya tegangannya naik turun udah berbulan2. Apalagi kalo malem, alat2 elektronik jadi rusak. Udah dari tahun kmrn lapor terakhir di januari bahkan smpe ke UPT di pamulang masih blm diTL. Gmn ini? Apa mentang2 pemain tunggal ya.;0
Mati listrik lagi di area sariharjo @pln_123;0
Halo @pln_123 ini MBC saya kok jeglek terus ya. Padahal pemakaian normal dan gak nyalain lampu kok tbtb listriknya turun 🥲 https://t.co/mVbbxqppOO;1
@pln_123 min ini ayah gw mau nebang pohon depan rumah (udh gede bgt sob) tp ada kabel pln di sela sela pohonnya gimana yach 🙂 tar tetiba nebang pohon mati listrik se rt apa gimana gimana gt jadi gw nanya dlu ni jawapp cpat 🤼‍♂️;0
halooo guys @pln_123 tebet barat mati lampu, panas kali dunia iniii 🔥🔥;0
@pln_123 cek daerah sidokarto godean sehari 2 kali mati listrik dan sekarang belum nyala.;0
@pln_123 @rifkiandono Mati lampu min di rea barat polewali mandar...tolong lah di nyalain..daritadi...;0
@pln_sulselrabar @pln_123 knapa kec. paleteang, kab. pinrang sdah 3 hri pemadaman listrik 19 s.d. 21 maret 2023 jam 18.00 wita s.d.22.00 wita?, alsannya kelbihan beban?, beban siapa yg berlebih?, jgn semena2 bgini dong, bisa tlong dijlaskn dgn baik knpa b;0
@pln_123 saya orang kampung cuma pingin tau kenapa hampir tiap hari kalau Magrib di wilayah Nagan Raya Aceh yg terkenal ada PLTU justru lampu dimatikan ini keadaan saat ini...👇 https://t.co/byL6GnexYO;0
Halo @pln_123 ini kenapa coba sudah dari jam 14:00 wib di jl rawamaya elok RT.09 RW.014 listriknya padam sampai sekarang? Tolong dong dinyalakan! Terima kasih;0
Pak presiden @jokowi tolong benahi @pln_123 Area Kabupaten Bengkulu Utara dan Lebong sering mati lampu...setiap hari mati , skrag mati barusan nyala sebelumnya mati..;0
@pln_123 min kenapa nih setiap masukin no token gagal terus yaa, no meteran udah aku kirim lewat DM semoga bisa segera di cek. terimakasih;4
Kok rajin banget mati lampu yak?? @pln_123;0
@pln_123 Abaikan saja, mati jam 6 pagi, nyala jam 7 pagi, dibales jam 6 sore :/;0
@pln_123 Selamat malam min, mohon bantuannya KWH tidak bisa di input token, selalu gagal, trims min;4
@pln_123 Gimana nih kok hari ini mati lagi di Tidung 9 Makassar sdh sejam lho mati lampunya;0
woi @pln_123 bisa2nya mati lampu udh 3 jam ngga ngasih kabar kelanjutan. kalo misalnya ada pemeliharaan atau pemadaman kasih surat dong!;0
Kepada @pln_123 , mati lampu di daerah saya, Muna Barat sudah 12 jam. Gimana pertanggungjawaban PLN ini?;0
@pln_123 Ada lagikah promo tambah daya kak??;1
@pln_123 BEJI DEPOK MATI LAMPU;0
Kenapa ya ama @pln_123 di bangka belitung tiap mau bulan puasa pasti mati lampu mulu dari 17 tahun yang lalu gak pernah absen tiap bulan puasa, pas magrib mati mulu. @bangkabelitung_ . Ada apa dibalik ini #PLNUntukIndonesia;0
@pln_123 ga Ada kerjaan lagi apa kl magrib2 gini selain madamin listrik rakyat kabupaten?;0
Lapor ke 123 udah lapor aplikasi udah tau2 ada notif kalo udah nyala. Gajelas banget kalian @pln_123;0
@pln_123 Sekarang saya ga bisa beli token listrik, cuma gara-gara tagihan ga jelas dari mana munculnya!;4
Saat migrasi juga sudah dilakukan pembayaran untuk tagihan proses tersebut, tolong kerja samanya @pln_123 , saat saya tanya call centre kenapa baru muncul tagihan kalau memang benar ada tagihan, call center-nya bilang ga bisa menjelaskan kenapa.;4
@pln_123 Padahal dari bank tanpa biaya admin ini lihat biaya transaksi Rp 0 ini contoh terus Rp 1.750 kemana? Padahal semula tanpa tambahan biaya (Rp 0) padahal jika bayar di konter sebelah rumah hanya tambah Rp 1.000 kenapa PLN mobile lebih mahal??????? ;4
@pln_123 berapa lama penyambungan kembali listrik yg telat bayar bisa dilakukan?;6
to PLN... mohon info... Kota Makassar sdh 3 hari bergiliran pemadaman Listrik, apa ada info yg bisa di sampaikan untuk masalah-nya..???  @PLN_Makassar ,@pln_maksel ,@pln_sulselrabar ,@pln_123;0
@pln_123 Sore en, di kotamadya jambi nih udah beberapa hari suka mati hidup mati hidup rusak att alat listrik.. Emg ada pergantian dari PLN ya pak menteri @erickthohir , klo org bayar telat iklan d TV lokal nya langsung cabut loh;0
@pln_123 tabe sampe jam berapa ini padam listriknya😊🙏🏻;0
Tolonglah infoin kalo lagi pemadaman listrik @pln_123 @PLN_Makassar  dari kemarin udh mati listrik 4 jam, sekarang juga udh 3 jam masih belom nyala.;0
@pln_123 min, di daerah villa kapuk mas 1 listriknya padam, tolong di cek min terimakasih;0
Kepada Yth @pln_123 ini kenapa ya, mau beli token tiba2 idpel diblokir, tlpn 123 katanya ada tagihan migrasi belum terbayar dari 2017, dan baru ditagihkan. Sedangkan 2020 saya pernah ada urus penggantian meteran dan bayar di PLN langsung. Knp muncul tagihan kaya gini;4
@pln_123 daerah teluk gong Jl. D2 Kel. Pejagalan Kec. Penjaringan Jakarta Utara padam dari 30menitan lalu, ada apa ya?;0
@pln_123 halo pak, daerah rumah saya udah mati listrik dari jam 2 sampe sekarang belum hidup, dan kata orang rumah kaya gini udah terjadi beberapa hari. Tiap siang mati listri sampe malem. Telfn pln unit layanan pelanggan purworejo itu juga ga aktif. Gima;0
WOY @pln_123 mati lampu lama amat sat !!!! Tol !!!!;0
@pln_123 monmaap udh nyala dr 10 jam yg lalu kak😭 tp ok mksi byk🙂🙏;0
@agakarebaa Banyak sekali ini dosanya @pln_123  sdh magrib kt blm menunaikan sholat gr2 mesin air mati dan air d kolam mati ( non pdam) mau tayammum jg kt penuh keringat sdh olah raga  😡😡😡😡;0
Masa pihak @pln_123 di telpon bilang tidak mendeteksi adanya pemadaman, setelah 2 jam dari telepon saya untuk laporan pertama. Gimana sih sistem pendeteksiannya kok ga bisa deteksi pemadaman udah lebih dari 1 jam di seluruh kompleks?;0
Ko tanggung dosa warga perumahan yg blm menunaikan sholat magrib krn pemadaman listrik dan air nya habis @pln_123  😡😡😡😡😡😡😡😡😡😡😡;0
@pln_123 PANAS BGT RUMAH GUE MATI LISTRIK UDAH DARI SIANG KAPAN NYALA!!!!!;0
@pln_123 halo PLN ini listrik kenapa mati mulu yah di Lebak Bulus? Udah sejak jam 3 masih belom balik lagi listriknya. Lagi kerja nih, ada bayi juga di rumah;0
@pln_123 min, saya mau cabut meteran token listrik gimana caranya?;4
tolong dong iconnet ini jaringan nya trouble mulu nih, tiap awal bulan kalo nggak lemot trouble padahal bayar gak pernah telat @pln_123;8
@pln_123 tolong cek dm saya, dan berikan solusi saya beli token listrik by @ShopeeID tapi ketika kode di masukkan di meteran selalu tulisannya gagal padahal nomornya udah bener;4
@pln_123 telattt, dah nyala lagi;0
@pln_123 JAKUT MATI LAMPU MULU KAPAN NYALANYAAAAAAA PANASSSSS😭😭🥲;0
@pln_123 min kelurahan karangasih, cikarang utara mati lampu dari sekitar jam 2. Ada apa ya? Kebiasaan bener pulang kerja mati lampu, gerah2an. Listrik on time terus padahal 😅;0
@pln_123 min ini mau ngisi token tapi nopel/nomor meternya terblokir. solusinya gimana ya min? urgent;4
woy!!! hidup mati hidup mati terus nih listrik, bangke! kalo elektronik rusak lo mau tanggung jawab, @pln_123????!;0
@pln_123  Min, Beji Depok dari siang sampe sore jelang malam listrik padam, ada Apakah?;0
Punten tadi udh nyala, tapi listriknya mati lagi. Sakelarnya kesenggol kali @pln_123;0
@pln_123 Sudah nyala jam 3 pagi min, saya tlp terus dari CS pln123nya, untuk gardu yg area rumah saya tolong kalau bisa diganti agar tdk mati2 terus, di area jln hj amat marim, kel parung kec parung RT 007/02 bgr;0
@pln_123 gardu meledak ni boss didepan rumah;0
@pln_123 Min pemadaman di karang asih, cikarang utara, kabupaten bekasi sampai kapan ya? Dipemberitahuan hanya sampai jam 4, sekarang sudah jam 5;0
Min @pln_123 listrik mati dari siang kaga nyala2 ini depok, jawa barat etdah bayar aja kg  boleh telat listrik mati mulu;0
@pln_123 min aku udh isi token listrik kenapa gabisa dimasukin ya stroom tokennya? Gagal terus;4
@pln_123 om ini listrik di desa karangasih kapan nyalanya ya?? saya ada deadline tugas malem ini bgt 😭😭;0
@pln_123 selamat sore,saya mau tanya,berapa biaya prosedur pemindahan meteran listrik ya?;3
@pln_123 daerah beji jl kabel masih mati lampu min. Udah dari siang;0
@pln_123 nih daerah bogor tengah mati lampu, kapan hidupnya;0
@pln_123 halo min, ada infokah mengenai mati lampu di daerah Utan Kayu Selatan, Matraman hari ini? dari jam 11 siang mati lampu.;0
@pln_123 daerah kedaton bandar lampung sampe kapan ini padam lampunya ?;0
@pln_123 min kenapa id token saya terblokir ya?;4
halo @pln_123 listrik rumah saya mati, saya udah bayar listrik. Tolong ditindak lanjuti.;0
Min @pln_123 saya sudah bayar dan lunas. Tapi status masih menunggu pembayaran 🥴;4
Share jadwal pemadaman listrik makassar @PLN_Makassar @pln_123;0
Mantap ini, 2 hari 1 malam tanpa listrik di pangkal pinang :( @pln_123;0
@pln_123 @iconnet Helehhhh;8
di sekitar rumah kami, hampir tiap hari lampu padam. ini baru terjadi 3 hari terakhir, pemadaman bergilir. hari ini, terpantau listrik padam lebih lama. 5 jam. sy melapor di #plnmobile . untungnya 10 menit kemudian, #listrik kembali nyala. terima kasih @pln_123  @erickthohir https://t.co/APmPfYXQiU;0
@pln_123 saya punya token belum diinput ke meteran... kemudian petugas pln datang, upgrade meteran... kenapa token yg belum dimasukan, tulisannya gagal pas diinput?;4
@pln_123 siang pln. Knapa listrik padam 2 kali tadi pagi jam 6 sekarang jam 2. Di sukmajaya bekasi timur, jln panda. Padam semua. Terimakasih;0
@pln_123 listrik gue matiiiii;0
Tengah hari bolong malah mati lampu, blok blok @pln_123;0
@pln_123 matraman sudah mati listrik cukup lama. Kenapa gg ada info?;0
@pln_123 Respon br sekarang, petugas dtg jam 12 MALAM, pelaporan stgh 6 sore, setelah 5x buang pulsa telfon call center  Kacau, dikira gd makanan di kulkas yg mesti diamankan, ga butuh koneksi wifi, beraktivitas di mlm hari gelap2an  Plis lah keamanan dn ;0
